N,T1,T2
1,35,40
2,1120,60
3,2300,60
4,2440,50
5,2610,100
6,3030,90
7,3350,100
8,4180,90
9,4570,90
10,4710,100
11,6230,110
12,7060,90
13,12320,120
14,7680,110
15,7390,120
16,11980,100
17,5410,130
18,11210,110
19,9270,90
20,10460,110
21,6570,130
22,16050,110
23,11380,110
24,16590,110
25,14520,170
26,15520,140
27,14290,140
28,12780,100
29,17520,120
30,14840,110
31,16420,150
32,19840,140
33,20290,140
34,14030,120
35,18300,110
36,18140,120
37,18040,110
38,17580,150
39,22470,120
40,19360,130
41,29370,120
42,18180,110
43,22460,160
44,26310,140
45,23130,140
46,21330,140
47,27070,150
48,25990,130
49,21830,170
50,31010,130
51,23570,190
52,29840,110
53,27430,150
54,35350,160
55,30480,150
56,27860,200
57,23260,120
58,33280,150
59,27580,160
60,32690,150
61,33870,160
62,34370,150
63,31010,160
64,34590,140
65,27530,170
66,33860,170
67,33850,170
68,42130,150
69,39290,150
70,36280,150
71,46820,150
72,36790,160
73,36260,130
74,35160,180
75,44590,190
76,36940,150
77,36690,120
78,37770,150
79,56080,140
80,61170,140
81,49730,150
82,48730,140
83,35920,150
84,31370,150
85,50660,160
86,45780,140
87,49320,190
88,40800,140
89,68350,150
90,65640,170
91,52050,180
92,47870,180
93,72580,130
94,57710,150
95,63110,170
96,50370,140
97,60720,170
98,59320,180
99,61620,180
100,56060,170
101,51900,150
102,66960,150
103,40990,150
104,52060,170
105,45330,150
106,59230,170
107,48390,160
108,62540,160
109,55280,180
110,49770,150
111,75000,160
112,78800,130
113,71060,140
114,55670,190
115,64410,160
116,61380,170
117,64950,210
118,71060,150
119,54790,170
120,60060,170
121,96550,170
122,58750,200
123,64930,190
124,55970,180
125,54250,180
126,69550,190
127,64970,180
128,74420,160
129,71720,190
130,73960,160
131,92290,200
132,43390,150
133,76800,180
134,73380,190
135,45800,170
136,52690,160
137,35950,170
138,76060,200
139,74050,150
140,59690,170
141,68740,180
142,57930,160
143,80960,150
144,93820,150
145,59310,150
146,70280,160
147,80010,160
148,83380,160
149,77700,190
150,42220,180
151,106780,160
152,92570,150
153,117780,180
154,69740,190
155,71000,190
156,75570,160
157,81520,170
158,103150,180
159,79320,130
160,78860,260
161,103240,150
162,87870,170
163,100520,140
164,87560,180
165,51450,180
166,79310,180
167,79770,150
168,102440,190
169,85240,170
170,92100,160
171,98810,230
172,118890,170
173,106870,160
174,68500,170
175,116480,160
176,83530,140
177,80110,130
178,158300,280
179,100530,150
180,110200,160
181,83270,150
182,96110,150
183,67760,140
184,95880,120
185,93530,180
186,104000,140
187,108090,110
188,113610,120
189,111680,140
190,108270,150
191,109380,130
192,88400,110
193,73350,130
194,61670,140
195,113580,130
196,106260,120
197,110230,120
198,113600,150
199,141550,450
200,101310,140
201,60760,160
202,109700,110
203,119330,170
204,127580,110
205,97390,150
206,95080,130
207,152120,130
208,127460,100
209,114750,140
210,87100,130
211,171030,120
212,131550,140
213,139710,100
214,75550,130
215,112800,110
216,92110,160
217,82720,210
218,103290,160
219,111010,140
220,94090,160
221,153000,100
222,86880,170
223,124630,150
224,143220,120
225,134020,100
226,107730,110
227,97970,120
228,144950,130
229,107460,110
230,142210,80
231,134730,110
232,131170,110
233,142360,90
234,167030,340
235,150120,180
236,124510,210
237,114600,170
238,122100,110
239,120410,120
240,132940,210
241,108260,170
242,115820,130
243,151390,160
244,138120,130
245,128470,120
246,91090,180
247,145590,120
248,117740,160
249,124150,130
250,108390,140
251,188740,110
252,67520,150
253,134840,160
254,100780,170
255,98840,180
256,157110,120
257,135470,140
258,126840,180
259,113030,150
260,150870,140
261,141430,150
262,188580,160
263,134600,140
264,179010,150
265,180360,130
266,206780,170
267,183360,140
268,190970,140
269,120700,110
270,192690,140
271,159660,200
272,133710,180
273,176700,170
274,218310,270
275,99740,140
276,147520,130
277,172710,160
278,145440,170
279,143950,200
280,106860,150
281,140650,190
282,208360,350
283,198810,190
284,141420,180
285,162240,150
286,179220,180
287,88330,160
288,179920,200
289,156420,120
290,106680,190
291,164680,190
292,149950,140
293,218840,250
294,166700,120
295,152550,170
296,95620,120
297,169400,160
298,206790,210
299,180960,200
300,128320,260
301,133560,290
302,134940,200
303,178210,240
304,157510,250
305,200730,280
306,154540,260
307,185080,470
308,207410,350
309,204040,230
310,208350,360
311,132250,260
312,154620,190
313,170760,230
314,172830,290
315,186370,200
316,144280,300
317,196500,700
318,271290,520
319,246670,360
320,211330,410
321,222820,240
322,126090,140
323,179880,200
324,176240,220
325,187430,260
326,188610,180
327,186320,340
328,254820,340
329,112880,170
330,217760,230
331,181550,210
332,273020,330
333,163730,370
334,237360,310
335,173460,160
336,199160,410
337,240850,440
338,211600,320
339,150960,160
340,200280,200
341,184700,180
342,133260,170
343,211790,250
344,211290,230
345,190760,170
346,120550,110
347,177170,170
348,236700,200
349,269310,230
350,156570,190
351,203270,250
352,151520,170
353,237500,290
354,165380,230
355,228740,210
356,137530,170
357,217870,210
358,186890,150
359,191050,360
360,224830,180
361,241370,140
362,213310,200
363,150230,140
364,218380,160
365,162530,130
366,291000,220
367,186670,150
368,223500,140
369,196160,180
370,254770,170
371,140780,300
372,228890,270
373,167800,390
374,183040,200
375,272950,260
376,211060,270
377,173060,280
378,221470,260
379,222910,390
380,220300,430
381,298560,240
382,216950,230
383,348460,490
384,374800,1500
385,309250,270
386,228310,180
387,250400,170
388,122860,170
389,270710,190
390,282900,180
391,182790,180
392,213810,160
393,252310,230
394,189650,150
395,161930,130
396,223740,170
397,218640,210
398,215190,130
399,183140,160
400,220060,180
401,219170,150
402,212530,170
403,177160,130
404,152990,160
405,114380,110
406,157250,140
407,228570,170
408,178770,120
409,246760,240
410,255210,210
411,256380,140
412,260980,240
413,175340,120
414,158590,120
415,228900,170
416,143760,90
417,216790,150
418,275090,180
419,307700,190
420,169700,220
421,253980,160
422,218090,210
423,277460,150
424,253030,150
425,170080,160
426,234930,120
427,230790,130
428,204540,320
429,279250,190
430,218360,170
431,276160,160
432,197200,160
433,184160,120
434,272250,210
435,261270,230
436,224960,170
437,154150,210
438,251570,160
439,271690,210
440,262130,160
441,355770,150
442,131770,130
443,265510,170
444,242080,140
445,293030,140
446,400880,600
447,306780,160
448,255780,150
449,222690,180
450,201190,140
451,193150,140
452,389250,280
453,319840,210
454,255040,140
455,303930,170
456,281500,160
457,320480,160
458,299160,190
459,302250,210
460,284700,230
461,336680,160
462,229000,170
463,252660,180
464,323950,230
465,258320,430
466,322590,250
467,332730,260
468,329330,210
469,362680,240
470,195020,190
471,340140,340
472,326290,280
473,248840,310
474,337540,600
475,249640,310
476,273860,250
477,355570,360
478,228960,760
479,273650,290
480,250050,270
481,201070,270
482,192040,410
483,370700,390
484,323030,270
485,309810,210
486,315800,260
487,281760,660
488,260210,360
489,273030,250
490,295040,200
491,304630,490
492,340360,180
493,217240,300
494,290440,190
495,298060,310
496,348320,230
497,184820,180
498,236310,150
499,217860,180
500,268720,280
501,331330,450
502,312410,210
503,378150,430
504,349780,240
505,305450,240
506,381010,280
507,315110,190
508,224580,190
509,403220,200
510,264060,310
511,178250,180
512,279240,190
513,268770,170
514,268380,180
515,316160,160
516,358060,220
517,293380,130
518,239450,150
519,309770,150
520,299240,180
521,264740,160
522,315900,290
523,276480,130
524,282710,210
525,347220,200
526,347060,350
527,213900,170
528,310230,240
529,290350,200
530,381400,350
531,248680,210
532,311370,200
533,353680,200
534,228850,170
535,456970,180
536,278810,170
537,418700,200
538,289350,160
539,345840,400
540,263370,250
541,275870,200
542,451770,320
543,438930,190
544,259900,180
545,336670,230
546,220240,210
547,315980,240
548,310940,170
549,223020,140
550,340680,180
551,259340,180
552,428110,200
553,478110,220
554,357760,230
555,318000,260
556,278710,180
557,350350,190
558,259740,180
559,331240,190
560,237740,150
561,208050,180
562,296880,170
563,316550,230
564,358800,170
565,330200,200
566,271830,320
567,266500,230
568,224700,200
569,369000,190
570,340810,200
571,273420,160
572,340000,230
573,220550,160
574,401180,210
575,361270,200
576,346330,190
577,246760,210
578,433840,280
579,362560,380
580,318060,190
581,354220,200
582,353870,200
583,225870,200
584,358480,200
585,376320,340
586,305980,250
587,316750,230
588,367870,220
589,333510,480
590,343610,240
591,293800,210
592,385380,400
593,445680,230
594,383100,170
595,310150,210
596,408730,240
597,288400,240
598,332090,230
599,288180,170
600,186420,170
601,363890,180
602,349250,340
603,451360,270
604,360170,240
605,420560,220
606,259760,230
607,409360,480
608,403110,230
609,260410,240
610,408480,230
611,342470,390
612,420140,220
613,343650,250
614,280140,230
615,500230,580
616,356480,530
617,262560,350
618,452670,420
619,321070,410
620,355770,290
621,399960,480
622,343360,440
623,473850,580
624,369810,490
625,326900,840
626,321160,500
627,282570,480
628,429760,410
629,422140,470
630,382310,410
631,329280,480
632,395380,430
633,375090,330
634,486170,480
635,310380,650
636,307640,420
637,439550,400
638,349490,410
639,434420,490
640,384580,400
641,401980,690
642,458950,510
643,564210,500
644,361600,340
645,246650,230
646,403960,570
647,359080,610
648,394390,360
649,324910,570
650,356820,390
651,344880,520
652,382710,470
653,405400,360
654,366520,400
655,381100,390
656,457370,440
657,266020,380
658,330200,330
659,284050,250
660,296200,280
661,220670,350
662,389280,210
663,311040,290
664,452230,320
665,246480,220
666,343900,270
667,381480,230
668,306670,260
669,441930,260
670,380400,170
671,364990,240
672,403880,190
673,255060,220
674,514970,600
675,367220,500
676,277020,220
677,521640,510
678,362260,240
679,371470,210
680,394810,280
681,471020,530
682,470170,250
683,444410,540
684,450120,390
685,381800,230
686,360860,290
687,375920,360
688,643550,440
689,497720,530
690,434150,390
691,427120,300
692,520450,340
693,461960,310
694,332300,430
695,317720,360
696,413730,350
697,467110,540
698,470520,320
699,346810,570
700,494570,380
701,424060,370
702,355910,440
703,331690,400
704,335980,520
705,361740,440
706,355270,340
707,369810,280
708,414770,330
709,387540,230
710,318350,230
711,341500,250
712,432910,220
713,529000,200
714,382770,230
715,252310,320
716,258160,200
717,362650,230
718,468710,350
719,306390,230
720,305060,230
721,477460,240
722,395710,180
723,263390,190
724,506850,250
725,253380,250
726,412680,210
727,293430,250
728,561360,270
729,395020,270
730,292020,360
731,291140,240
732,450230,240
733,325080,420
734,358310,330
735,360370,300
736,417680,340
737,447300,280
738,581880,230
739,564610,250
740,357010,240
741,261270,340
742,537460,320
743,580580,310
744,443550,330
745,283320,260
746,465460,260
747,469290,280
748,525810,370
749,692810,520
750,340280,220
751,501430,470
752,314120,520
753,549830,270
754,483020,220
755,485860,230
756,400450,250
757,446040,340
758,348770,220
759,425460,310
760,442900,320
761,414640,240
762,477290,260
763,424290,400
764,577640,210
765,460510,180
766,339250,310
767,371010,310
768,221060,240
769,418330,310
770,383250,230
771,322210,240
772,395440,320
773,475380,180
774,556170,200
775,362690,270
776,425920,210
777,481480,290
778,339090,380
779,414770,1330
780,400900,180
781,452800,250
782,512500,240
783,509970,340
784,562380,240
785,417810,310
786,429360,240
787,447850,290
788,530320,290
789,326390,340
790,439560,250
791,358160,280
792,402280,390
793,465680,330
794,551710,460
795,494480,340
796,632550,460
797,517410,460
798,352860,390
799,520250,360
800,367020,360
801,422580,220
802,298840,270
803,415010,230
804,315840,270
805,416530,290
806,638440,430
807,448900,230
808,598270,280
809,390610,270
810,452260,250
811,619600,320
812,433300,360
813,412030,250
814,614290,430
815,653600,550
816,404670,340
817,616810,320
818,403570,260
819,417360,360
820,378270,220
821,516860,280
822,525040,240
823,481360,230
824,467040,360
825,449280,270
826,431380,280
827,565170,290
828,418560,280
829,586140,280
830,595610,260
831,428610,320
832,560550,510
833,540720,470
834,656570,280
835,465860,270
836,545070,290
837,546700,310
838,695510,460
839,466110,450
840,348960,490
841,466810,570
842,484310,440
843,361790,310
844,550700,540
845,467780,350
846,492450,310
847,429520,280
848,579660,510
849,361560,370
850,554060,430
851,347250,520
852,309920,350
853,492510,240
854,293950,290
855,434300,290
856,364620,310
857,543060,300
858,568690,260
859,470770,310
860,371870,380
861,373550,430
862,353750,330
863,536930,240
864,442660,340
865,324710,270
866,462990,250
867,520040,280
868,338360,160
869,428830,320
870,403460,270
871,746020,300
872,426770,280
873,522640,370
874,411770,200
875,449680,270
876,530840,270
877,527390,340
878,367260,410
879,437090,310
880,598100,190
881,550750,340
882,705660,420
883,395250,300
884,506960,520
885,431810,250
886,426080,300
887,572810,240
888,784000,440
889,511440,340
890,407840,320
891,568970,270
892,487130,270
893,624230,690
894,568870,320
895,485410,530
896,425830,470
897,533790,610
898,451020,340
899,612270,530
900,494780,490
901,510480,430
902,462390,490
903,430870,520
904,621690,280
905,555190,350
906,634360,300
907,451040,380
908,503540,410
909,486980,370
910,759270,260
911,430930,320
912,602930,240
913,586420,250
914,610990,300
915,335720,330
916,578020,450
917,562740,500
918,743940,600
919,343970,430
920,527290,270
921,720390,420
922,682440,400
923,579270,390
924,542500,400
925,352590,460
926,560390,420
927,566490,460
928,543500,340
929,705000,360
930,377820,760
931,554280,300
932,289800,620
933,528580,720
934,398720,440
935,442860,550
936,446190,660
937,521190,660
938,395920,770
939,653600,520
940,646170,560
941,631880,430
942,802610,490
943,595090,370
944,360060,770
945,570080,540
946,719930,780
947,628980,840
948,785250,780
949,773180,670
950,611680,460
951,492520,440
952,754930,580
953,538460,460
954,383150,450
955,591090,430
956,468750,440
957,650330,810
958,598530,570
959,673760,540
960,622430,540
961,498310,300
962,552670,230
963,494400,450
964,562380,310
965,359680,350
966,537110,400
967,607860,600
968,594290,510
969,562720,1090
970,447590,530
971,428070,720
972,431990,400
973,632380,1050
974,449420,330
975,571670,260
976,514050,450
977,518680,600
978,533020,420
979,675740,480
980,537600,460
981,769810,570
982,301640,530
983,783080,740
984,539370,640
985,767490,600
986,439530,520
987,662270,500
988,492250,350
989,652250,410
990,574830,280
991,378840,290
992,685570,340
993,474840,390
994,675700,340
995,416430,410
996,541440,590
997,584550,600
998,755390,600
999,512180,350
1000,588180,450
